MDYG;SPDR S&P 400 Mid Cap Growth ETF
MDYV;SPDR S&P 400 Mid Cap Value ETF
SPYG;SPDR S&P 500 Growth ETF
SPYV;SPDR S&P 500 Value ETF
SLYG;SPDR S&P 600 Small Cap Growth ETF
SLYV;SPDR S&P 600 Small Cap Value ETF
